,Mario Kart 8 Deluxe,Super Mario Odyssey ,Mario + Rabbids Kingdom Battle,Mario Tennis Aces,Captain Toad: Treasure Tracker,Super Smash Bros. Ultimate,Super Mario Party,New Super Mario Bros U Deluxe,Yoshi,Luigi's Mansion 3 
Nintendo Switch Mario Tennis Ace & Tennis racket FYOUNG racket for Joy-Con Set,4.242640687119285,4.242640687119285,4.358898943540674,3.7416573867739413,4.58257569495584,4.58257569495584,4.242640687119285,4.47213595499958,4.242640687119285,4.358898943540674
Super Mario Party Nintendo Switch Video Game Sealed Brand New,3.3166247903554,3.0,3.4641016151377544,3.3166247903554,3.7416573867739413,3.4641016151377544,2.6457513110645907,3.0,3.3166247903554,3.4641016151377544
Super Mario Party- Nintendo Switch,2.449489742783178,2.0,2.6457513110645907,2.449489742783178,3.0,2.6457513110645907,1.4142135623730951,2.449489742783178,2.449489742783178,2.6457513110645907
Super Mario Party Switch [Factory Refurbished],2.6457513110645907,2.23606797749979,2.8284271247461903,2.6457513110645907,3.1622776601683795,2.8284271247461903,1.7320508075688772,2.6457513110645907,2.6457513110645907,2.8284271247461903
Mario Tennis Aces - Nintendo Switch,2.449489742783178,2.449489742783178,2.6457513110645907,1.4142135623730951,3.0,3.0,2.449489742783178,2.8284271247461903,2.449489742783178,2.6457513110645907
Super Mario Odyssey Nintendo Switch Game,2.6457513110645907,1.7320508075688772,2.8284271247461903,2.6457513110645907,3.1622776601683795,2.8284271247461903,2.23606797749979,2.6457513110645907,2.6457513110645907,2.8284271247461903
Mario Kart 8 Deluxe Nintendo Switch Video Game Sealed Import Region Free,2.8284271247461903,3.4641016151377544,3.605551275463989,3.4641016151377544,3.872983346207417,3.872983346207417,3.4641016151377544,3.4641016151377544,3.4641016151377544,3.605551275463989
Mario Tennis Aces Switch [Factory Refurbished],2.6457513110645907,2.6457513110645907,2.8284271247461903,1.7320508075688772,3.1622776601683795,3.1622776601683795,2.6457513110645907,3.0,2.6457513110645907,2.8284271247461903
New Super Mario Bros. U Deluxe - Nintendo Switch Brand New,3.1622776601683795,3.1622776601683795,3.605551275463989,3.4641016151377544,3.872983346207417,3.3166247903554,3.1622776601683795,2.0,3.4641016151377544,3.605551275463989
"Mario Kart 8 Deluxe (Nintendo Switch, 2017)",1.7320508075688772,2.6457513110645907,2.8284271247461903,2.6457513110645907,3.1622776601683795,3.1622776601683795,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.8284271247461903
